support,confidence,execution_time
0.005,0.4,10.280294418334961
0.005,0.4625,10.21734881401062
0.005,0.525,12.67424726486206
0.005,0.5875,17.645993947982788
0.005,0.65,18.21141242980957
0.005,0.7125,13.45920991897583
0.005,0.775,11.699076175689697
0.005,0.8375,12.152754783630371
0.005,0.9,11.082833528518677
0.005555555555555556,0.4,10.542402505874634
0.005555555555555556,0.4625,9.660224437713623
0.005555555555555556,0.525,12.328576803207397
0.005555555555555556,0.5875,13.51751184463501
0.005555555555555556,0.65,10.700255632400513
0.005555555555555556,0.7125,9.167032957077026
0.005555555555555556,0.775,9.052134275436401
0.005555555555555556,0.8375,11.119580507278442
0.005555555555555556,0.9,12.736371994018555
0.006111111111111111,0.4,12.513768672943115
0.006111111111111111,0.4625,19.29950714111328
0.006111111111111111,0.525,16.423906087875366
0.006111111111111111,0.5875,11.117499828338623
0.006111111111111111,0.65,7.9680564403533936
0.006111111111111111,0.7125,7.661269426345825
0.006111111111111111,0.775,9.254918336868286
0.006111111111111111,0.8375,7.9065842628479
0.006111111111111111,0.9,8.796582221984863
0.006666666666666666,0.4,9.605720043182373
0.006666666666666666,0.4625,7.3986899852752686
0.006666666666666666,0.525,7.6323018074035645
0.006666666666666666,0.5875,6.929734230041504
0.006666666666666666,0.65,8.433788299560547
0.006666666666666666,0.7125,6.8742780685424805
0.006666666666666666,0.775,6.554197788238525
0.006666666666666666,0.8375,6.742906093597412
0.006666666666666666,0.9,6.500621557235718
0.007222222222222222,0.4,5.479283571243286
0.007222222222222222,0.4625,6.6251749992370605
0.007222222222222222,0.525,6.24122953414917
0.007222222222222222,0.5875,6.953299283981323
0.007222222222222222,0.65,6.443536043167114
0.007222222222222222,0.7125,5.476880311965942
0.007222222222222222,0.775,6.397732496261597
0.007222222222222222,0.8375,6.101641654968262
0.007222222222222222,0.9,6.03957200050354
0.0077777777777777776,0.4,4.87130069732666
0.0077777777777777776,0.4625,4.719715118408203
0.0077777777777777776,0.525,4.963924169540405
0.0077777777777777776,0.5875,4.65134334564209
0.0077777777777777776,0.65,4.9529078006744385
0.0077777777777777776,0.7125,5.362237215042114
0.0077777777777777776,0.775,5.858270883560181
0.0077777777777777776,0.8375,5.490107536315918
0.0077777777777777776,0.9,5.310906410217285
0.008333333333333333,0.4,4.5337865352630615
0.008333333333333333,0.4625,4.33511209487915
0.008333333333333333,0.525,4.577472925186157
0.008333333333333333,0.5875,5.178386449813843
0.008333333333333333,0.65,4.5802624225616455
0.008333333333333333,0.7125,4.220211505889893
0.008333333333333333,0.775,4.56543231010437
0.008333333333333333,0.8375,4.603853940963745
0.008333333333333333,0.9,4.791305780410767
0.008888888888888889,0.4,4.154839038848877
0.008888888888888889,0.4625,4.347630023956299
0.008888888888888889,0.525,4.588578462600708
0.008888888888888889,0.5875,3.898707151412964
0.008888888888888889,0.65,3.9956624507904053
0.008888888888888889,0.7125,4.013481140136719
0.008888888888888889,0.775,3.904522657394409
0.008888888888888889,0.8375,3.943737506866455
0.008888888888888889,0.9,3.7773962020874023
0.009444444444444445,0.4,3.34504771232605
0.009444444444444445,0.4625,3.187734842300415
0.009444444444444445,0.525,3.5498850345611572
0.009444444444444445,0.5875,3.3294034004211426
0.009444444444444445,0.65,3.46621036529541
0.009444444444444445,0.7125,3.2522225379943848
0.009444444444444445,0.775,3.3858978748321533
0.009444444444444445,0.8375,3.2236745357513428
0.009444444444444445,0.9,3.4201905727386475
0.01,0.4,3.2085049152374268
0.01,0.4625,3.2266039848327637
0.01,0.525,3.2677359580993652
0.01,0.5875,3.065173864364624
0.01,0.65,3.125706911087036
0.01,0.7125,3.0496864318847656
0.01,0.775,3.4154651165008545
0.01,0.8375,3.299185037612915
0.01,0.9,3.404574155807495
