support,confidence,average_rules
0.007,0.45,18.0
0.007,0.4714285714285714,13.0
0.007,0.4928571428571429,10.0
0.007,0.5142857142857142,4.0
0.007,0.5357142857142857,2.0
0.007,0.5571428571428572,1.0
0.007,0.5785714285714285,0.0
0.007,0.6,0.0
0.007142857142857143,0.45,18.0
0.007142857142857143,0.4714285714285714,13.0
0.007142857142857143,0.4928571428571429,10.0
0.007142857142857143,0.5142857142857142,4.0
0.007142857142857143,0.5357142857142857,2.0
0.007142857142857143,0.5571428571428572,1.0
0.007142857142857143,0.5785714285714285,0.0
0.007142857142857143,0.6,0.0
0.007285714285714286,0.45,18.0
0.007285714285714286,0.4714285714285714,13.0
0.007285714285714286,0.4928571428571429,10.0
0.007285714285714286,0.5142857142857142,4.0
0.007285714285714286,0.5357142857142857,2.0
0.007285714285714286,0.5571428571428572,1.0
0.007285714285714286,0.5785714285714285,0.0
0.007285714285714286,0.6,0.0
0.0074285714285714285,0.45,17.0
0.0074285714285714285,0.4714285714285714,13.0
0.0074285714285714285,0.4928571428571429,10.0
0.0074285714285714285,0.5142857142857142,4.0
0.0074285714285714285,0.5357142857142857,2.0
0.0074285714285714285,0.5571428571428572,1.0
0.0074285714285714285,0.5785714285714285,0.0
0.0074285714285714285,0.6,0.0
0.007571428571428572,0.45,15.0
0.007571428571428572,0.4714285714285714,11.0
0.007571428571428572,0.4928571428571429,8.0
0.007571428571428572,0.5142857142857142,3.0
0.007571428571428572,0.5357142857142857,2.0
0.007571428571428572,0.5571428571428572,1.0
0.007571428571428572,0.5785714285714285,0.0
0.007571428571428572,0.6,0.0
0.007714285714285714,0.45,13.0
0.007714285714285714,0.4714285714285714,9.0
0.007714285714285714,0.4928571428571429,7.0
0.007714285714285714,0.5142857142857142,2.0
0.007714285714285714,0.5357142857142857,2.0
0.007714285714285714,0.5571428571428572,1.0
0.007714285714285714,0.5785714285714285,0.0
0.007714285714285714,0.6,0.0
0.007857142857142858,0.45,13.0
0.007857142857142858,0.4714285714285714,9.0
0.007857142857142858,0.4928571428571429,7.0
0.007857142857142858,0.5142857142857142,2.0
0.007857142857142858,0.5357142857142857,2.0
0.007857142857142858,0.5571428571428572,1.0
0.007857142857142858,0.5785714285714285,0.0
0.007857142857142858,0.6,0.0
0.008,0.45,12.0
0.008,0.4714285714285714,8.0
0.008,0.4928571428571429,7.0
0.008,0.5142857142857142,2.0
0.008,0.5357142857142857,2.0
0.008,0.5571428571428572,1.0
0.008,0.5785714285714285,0.0
0.008,0.6,0.0
