support,confidence,num_rules
0.005,0.4,90
0.005,0.4625,36
0.005,0.525,8
0.005,0.5875,1
0.005,0.65,0
0.005,0.7125,0
0.005,0.775,0
0.005,0.8375,0
0.005,0.9,0
0.005555555555555556,0.4,75
0.005555555555555556,0.4625,29
0.005555555555555556,0.525,6
0.005555555555555556,0.5875,0
0.005555555555555556,0.65,0
0.005555555555555556,0.7125,0
0.005555555555555556,0.775,0
0.005555555555555556,0.8375,0
0.005555555555555556,0.9,0
0.006111111111111111,0.4,63
0.006111111111111111,0.4625,23
0.006111111111111111,0.525,5
0.006111111111111111,0.5875,0
0.006111111111111111,0.65,0
0.006111111111111111,0.7125,0
0.006111111111111111,0.775,0
0.006111111111111111,0.8375,0
0.006111111111111111,0.9,0
0.006666666666666666,0.4,47
0.006666666666666666,0.4625,17
0.006666666666666666,0.525,2
0.006666666666666666,0.5875,0
0.006666666666666666,0.65,0
0.006666666666666666,0.7125,0
0.006666666666666666,0.775,0
0.006666666666666666,0.8375,0
0.006666666666666666,0.9,0
0.007222222222222222,0.4,41
0.007222222222222222,0.4625,16
0.007222222222222222,0.525,2
0.007222222222222222,0.5875,0
0.007222222222222222,0.65,0
0.007222222222222222,0.7125,0
0.007222222222222222,0.775,0
0.007222222222222222,0.8375,0
0.007222222222222222,0.9,0
0.0077777777777777776,0.4,33
0.0077777777777777776,0.4625,11
0.0077777777777777776,0.525,2
0.0077777777777777776,0.5875,0
0.0077777777777777776,0.65,0
0.0077777777777777776,0.7125,0
0.0077777777777777776,0.775,0
0.0077777777777777776,0.8375,0
0.0077777777777777776,0.9,0
0.008333333333333333,0.4,30
0.008333333333333333,0.4625,9
0.008333333333333333,0.525,2
0.008333333333333333,0.5875,0
0.008333333333333333,0.65,0
0.008333333333333333,0.7125,0
0.008333333333333333,0.775,0
0.008333333333333333,0.8375,0
0.008333333333333333,0.9,0
0.008888888888888889,0.4,26
0.008888888888888889,0.4625,6
0.008888888888888889,0.525,1
0.008888888888888889,0.5875,0
0.008888888888888889,0.65,0
0.008888888888888889,0.7125,0
0.008888888888888889,0.775,0
0.008888888888888889,0.8375,0
0.008888888888888889,0.9,0
0.009444444444444445,0.4,20
0.009444444444444445,0.4625,4
0.009444444444444445,0.525,0
0.009444444444444445,0.5875,0
0.009444444444444445,0.65,0
0.009444444444444445,0.7125,0
0.009444444444444445,0.775,0
0.009444444444444445,0.8375,0
0.009444444444444445,0.9,0
0.01,0.4,18
0.01,0.4625,4
0.01,0.525,0
0.01,0.5875,0
0.01,0.65,0
0.01,0.7125,0
0.01,0.775,0
0.01,0.8375,0
0.01,0.9,0
