support,confidence,num_rules
0.1,0.75,60
0.1,0.766,60
0.1,0.782,60
0.1,0.798,60
0.1,0.8140000000000001,60
0.1,0.83,60
0.1,0.846,60
0.1,0.862,60
0.1,0.878,60
0.1,0.894,60
0.1,0.91,60
0.1,0.9259999999999999,60
0.1,0.942,60
0.1,0.958,60
0.1,0.974,60
0.1,0.99,60
0.10666666666666667,0.75,59
0.10666666666666667,0.766,59
0.10666666666666667,0.782,59
0.10666666666666667,0.798,59
0.10666666666666667,0.8140000000000001,59
0.10666666666666667,0.83,59
0.10666666666666667,0.846,59
0.10666666666666667,0.862,59
0.10666666666666667,0.878,59
0.10666666666666667,0.894,59
0.10666666666666667,0.91,59
0.10666666666666667,0.9259999999999999,59
0.10666666666666667,0.942,59
0.10666666666666667,0.958,59
0.10666666666666667,0.974,59
0.10666666666666667,0.99,59
0.11333333333333334,0.75,40
0.11333333333333334,0.766,40
0.11333333333333334,0.782,40
0.11333333333333334,0.798,40
0.11333333333333334,0.8140000000000001,40
0.11333333333333334,0.83,40
0.11333333333333334,0.846,40
0.11333333333333334,0.862,40
0.11333333333333334,0.878,40
0.11333333333333334,0.894,40
0.11333333333333334,0.91,40
0.11333333333333334,0.9259999999999999,40
0.11333333333333334,0.942,40
0.11333333333333334,0.958,40
0.11333333333333334,0.974,40
0.11333333333333334,0.99,40
0.12000000000000001,0.75,30
0.12000000000000001,0.766,30
0.12000000000000001,0.782,30
0.12000000000000001,0.798,30
0.12000000000000001,0.8140000000000001,30
0.12000000000000001,0.83,30
0.12000000000000001,0.846,30
0.12000000000000001,0.862,30
0.12000000000000001,0.878,30
0.12000000000000001,0.894,30
0.12000000000000001,0.91,30
0.12000000000000001,0.9259999999999999,30
0.12000000000000001,0.942,30
0.12000000000000001,0.958,30
0.12000000000000001,0.974,30
0.12000000000000001,0.99,30
0.12666666666666668,0.75,30
0.12666666666666668,0.766,30
0.12666666666666668,0.782,30
0.12666666666666668,0.798,30
0.12666666666666668,0.8140000000000001,30
0.12666666666666668,0.83,30
0.12666666666666668,0.846,30
0.12666666666666668,0.862,30
0.12666666666666668,0.878,30
0.12666666666666668,0.894,30
0.12666666666666668,0.91,30
0.12666666666666668,0.9259999999999999,30
0.12666666666666668,0.942,30
0.12666666666666668,0.958,30
0.12666666666666668,0.974,30
0.12666666666666668,0.99,30
0.13333333333333333,0.75,30
0.13333333333333333,0.766,30
0.13333333333333333,0.782,30
0.13333333333333333,0.798,30
0.13333333333333333,0.8140000000000001,30
